opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
14,CLE,GB,27,24,341,256,85,3,20,0,4,191,42,2177
15,CLE,BAL,27,23,376,279,97,7,57,0,5,215,41,2208
16,CLE,CHI,20,16,258,161,97,4,25,0,8,361,39,1994
17,CLE,PIT,28,20,348,224,124,3,15,2,4,144,37,1745
1,DAL,NYG,3,13,233,198,35,6,55,1,6,269,42,1546
2,DAL,DEN,42,26,380,202,178,8,61,2,3,129,37,2030
3,DAL,ARI,17,22,332,283,49,6,50,0,6,271,38,2175
4,DAL,LA,35,24,412,244,168,7,41,0,2,108,54,1832
5,DAL,GB,35,25,342,182,160,6,38,1,2,97,49,1494
7,DAL,SF,10,23,290,187,103,2,22,3,4,180,45,1630
8,DAL,WAS,19,16,285,236,49,5,32,3,3,140,40,1601
9,DAL,KC,17,17,323,255,68,8,52,1,5,231,42,1723
10,DAL,ATL,27,22,336,204,132,5,35,1,2,85,37,1926
11,DAL,PHI,37,17,383,168,215,3,30,0,6,275,43,1769
12,DAL,LAC,28,25,515,434,81,5,56,0,0,0,0,2165
13,DAL,WAS,14,15,280,224,56,7,43,4,5,213,25,1652
14,DAL,NYG,10,21,330,228,102,7,69,2,8,347,34,1973
15,DAL,OAK,17,19,293,171,122,14,105,1,4,182,42,1660
16,DAL,SEA,21,15,136,60,76,11,142,0,7,323,42,1630
17,DAL,PHI,0,12,219,149,70,7,49,2,7,299,41,1795
1,DEN,LAC,21,17,249,185,64,4,40,1,5,230,36,1547
2,DEN,DAL,17,16,268,228,40,8,69,2,5,249,42,1570
3,DEN,BUF,26,16,272,197,75,8,69,0,5,226,38,1826
4,DEN,OAK,10,11,254,230,24,7,75,1,6,306,45,1623
6,DEN,NYG,23,12,266,118,148,5,77,0,6,299,46,1836
7,DEN,LAC,21,14,242,162,80,9,81,0,8,413,45,1736
8,DEN,KC,29,16,276,197,79,7,69,2,5,209,41,1717
9,DEN,PHI,51,25,419,222,197,5,35,1,2,108,32,1794
10,DEN,NE,41,28,396,297,99,1,5,0,1,46,46,1783
11,DEN,CIN,20,12,190,141,49,3,14,0,8,318,32,1489
12,DEN,OAK,21,21,348,244,104,7,68,1,6,261,42,2154
13,DEN,MIA,35,15,367,222,145,7,85,3,9,386,41,2062
14,DEN,NYJ,0,6,100,41,59,4,20,2,8,365,38,1345
15,DEN,IND,13,15,228,158,70,4,39,0,4,164,41,1389
16,DEN,WAS,27,19,386,299,87,6,35,2,5,247,46,1773
17,DEN,KC,27,23,379,269,110,4,40,2,5,256,46,1743
1,DET,ARI,23,24,309,264,45,6,55,4,4,184,34,1600
2,DET,NYG,10,14,270,208,62,7,50,1,5,239,28,1633
