opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
12,IND,MIA,24,14,314,201,113,10,75,1,6,285,45,1686
13,IND,JAX,6,11,211,132,79,8,74,1,7,329,45,1773
14,IND,HOU,21,25,315,226,89,7,35,0,8,362,39,1917
15,IND,DAL,0,19,292,180,112,9,74,1,2,81,41,1692
16,IND,NYG,27,22,392,309,83,6,24,1,3,145,47,1901
17,IND,TEN,17,11,258,165,93,9,75,3,6,272,45,1187
1,JAX,NYG,15,15,324,210,114,6,43,2,5,247,43,1829
2,JAX,NE,20,18,302,220,82,2,25,1,4,222,45,1754
3,JAX,TEN,9,15,233,83,150,4,30,0,6,280,42,1967
4,JAX,NYJ,12,10,178,144,34,6,43,0,7,345,45,1345
5,JAX,KC,30,26,424,298,126,11,105,2,2,116,55,1963
6,JAX,DAL,40,23,378,172,206,3,25,0,3,123,42,2330
7,JAX,HOU,20,15,272,131,141,6,35,0,6,277,39,1775
8,JAX,PHI,24,22,395,262,133,4,36,2,3,155,41,1958
10,JAX,IND,29,17,366,285,81,7,45,1,3,138,46,1490
11,JAX,PIT,20,19,323,297,26,3,15,3,6,306,42,1340
12,JAX,BUF,24,18,327,160,167,13,80,0,7,314,37,1638
13,JAX,IND,0,19,265,224,41,6,65,2,6,298,42,1827
14,JAX,TEN,30,21,426,162,264,3,30,1,2,118,59,1760
15,JAX,WAS,16,16,245,136,109,6,48,0,6,279,33,1986
16,JAX,MIA,7,11,183,121,62,10,95,2,6,278,39,1515
17,JAX,HOU,20,23,342,208,134,2,15,1,7,295,40,2107
1,KC,LAC,28,33,541,418,123,7,45,2,3,144,16,2066
2,KC,PIT,37,33,475,442,33,12,90,0,5,226,32,1931
3,KC,SF,27,26,406,228,178,14,147,0,4,148,36,1799
4,KC,DEN,23,21,385,226,159,3,25,1,3,123,29,1498
5,KC,JAX,14,29,502,401,101,5,45,5,3,108,35,1637
6,KC,NE,43,31,500,327,173,0,0,1,0,0,0,2169
7,KC,CIN,10,15,239,174,65,8,58,1,5,258,43,1577
8,KC,DEN,23,22,411,222,189,10,83,2,4,175,40,1961
9,KC,CLE,21,26,388,286,102,4,20,1,2,39,13,1851
10,KC,ARI,14,21,260,166,94,3,30,2,5,247,45,1907
11,KC,LA,54,29,455,379,76,8,60,2,4,222,50,1823
13,KC,OAK,33,28,442,271,171,8,74,3,2,61,31,1846
14,KC,BAL,24,24,321,127,194,11,112,1,3,158,48,1887
15,KC,LAC,29,30,407,288,119,7,50,2,2,83,32,1996
