Name,Team,Pos,Wk,Opp,Year,Status,TeamScore,OppScore,PassYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgs,ReceivingYds,ReceivingTD,FL
Aaron Jones,GB,RB,2,DET,2020,0,42,21,0,0,0,0,0,18,168,2,4,8,68,1,0
Dak Prescott,DAL,QB,2,ATL,2020,0,40,39,450,1,0,47,34,5,18,3,0,0,0,0,1
Alvin Kamara,NO,RB,2,LV,2020,0,24,34,0,0,0,0,0,13,79,2,9,9,95,0,0
Cam Newton,NE,QB,2,SEA,2020,0,30,35,397,1,0,44,30,11,47,2,0,0,0,0,0
Josh Allen,BUF,QB,2,MIA,2020,0,31,28,415,4,0,35,24,4,19,0,0,0,0,0,0
Russell Wilson,SEA,QB,2,NE,2020,0,35,30,288,5,0,28,21,5,39,0,0,0,0,0,0
Kyler Murray,ARI,QB,2,WAS,2020,0,30,15,286,1,0,38,26,8,67,2,0,0,0,0,0
Calvin Ridley,ATL,WR,2,DAL,2020,Q,39,40,0,0,0,0,0,0,0,0,7,10,109,2,0
Stefon Diggs,BUF,WR,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,8,13,153,1,0
Matt Ryan,ATL,QB,2,DAL,2020,0,39,40,273,4,0,36,24,4,16,0,0,0,0,0,0
Darren Waller,LV,TE,2,NO,2020,0,34,24,0,0,0,0,0,0,0,0,12,16,105,1,0
Tyler Higbee,LAR,TE,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,5,5,54,3,0
Leonard Fournette,TB,RB,2,CAR,2020,O,31,17,0,0,0,0,0,12,103,2,4,5,13,0,0
Patrick Mahomes,KC,QB,2,LAC,2020,0,23,20,302,2,0,47,27,6,54,0,0,0,0,0,0
Mike Gesicki,MIA,TE,2,BUF,2020,0,28,31,0,0,0,0,0,0,0,0,8,11,130,1,0
Ryan Tannehill,TEN,QB,2,JAX,2020,0,33,30,239,4,0,24,18,4,12,0,0,0,0,0,0
Nick Chubb,CLE,RB,2,CIN,2020,IR,35,30,0,0,0,0,0,22,124,2,1,1,9,0,0
Julian Edelman,NE,WR,2,SEA,2020,Q,30,35,0,0,0,0,0,0,0,0,8,11,179,0,0
Terry McLaurin,WAS,WR,2,ARI,2020,P,15,30,0,0,0,0,0,0,0,0,7,10,125,1,0
Christian McCaffrey,CAR,RB,2,TB,2020,IR,17,31,0,0,0,0,0,18,59,2,4,5,29,0,0
Joe Burrow,CIN,QB,2,CLE,2020,0,30,35,316,3,0,61,37,7,19,0,0,0,0,0,2
Jonnu Smith,TEN,TE,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,4,5,84,2,0
Ryan Fitzpatrick,MIA,QB,2,BUF,2020,0,28,31,328,2,0,47,31,3,12,0,0,0,0,0,0
Kareem Hunt,CLE,RB,2,CIN,2020,P,35,30,0,0,0,0,0,10,86,1,2,2,15,1,0
Jordan Reed,SF,TE,2,NYJ,2020,IR,31,13,0,0,0,0,0,0,0,0,7,8,50,2,0
Travis Kelce,KC,TE,2,LAC,2020,0,23,20,0,0,0,0,0,0,0,0,9,14,90,1,0
Jared Goff,LAR,QB,2,PHI,2020,0,37,19,267,3,0,27,20,7,13,0,0,0,0,0,0
Gardner Minshew II,JAX,QB,2,TEN,2020,0,30,33,339,3,0,45,30,4,19,0,0,0,0,0,1
Mike Evans,TB,WR,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,7,10,104,1,0
Diontae Johnson,PIT,WR,2,DEN,2020,Q,26,21,0,0,0,0,0,0,0,0,8,13,92,1,0
Justin Herbert,LAC,QB,2,KC,2020,0,20,23,311,1,0,33,22,4,18,1,0,0,0,0,0
Ezekiel Elliott,DAL,RB,2,ATL,2020,0,40,39,0,0,0,0,0,22,89,1,6,7,33,0,2
Tyreek Hill,KC,WR,2,LAC,2020,0,23,20,0,0,0,0,0,1,9,0,5,11,99,1,0
Dalton Schultz,DAL,TE,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,9,10,88,1,1
David Montgomery,CHI,RB,2,NYG,2020,0,17,13,0,0,0,0,0,16,82,0,3,3,45,1,0
Derek Carr,LV,QB,2,NO,2020,0,34,24,284,3,0,38,28,3,3,0,0,0,0,0,2
James Robinson,JAX,RB,2,TEN,2020,0,30,33,0,0,0,0,0,16,102,1,3,4,18,0,0
DeAndre Hopkins,ARI,WR,2,WAS,2020,P,30,15,0,0,0,0,0,0,0,0,8,9,68,1,0
Quinnen Williams,NYJ,DE,2,SF,2020,0,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Boyd,CIN,WR,2,CLE,2020,0,30,35,0,0,0,0,0,0,0,0,7,8,72,1,0
Darrell Henderson Jr.,LAR,RB,2,PHI,2020,0,37,19,0,0,0,0,0,12,81,1,2,3,40,0,0
James Conner,PIT,RB,2,DEN,2020,0,26,21,0,0,0,0,0,16,106,1,2,2,15,0,0
Miles Sanders,PHI,RB,2,LAR,2020,0,19,37,0,0,0,0,0,20,95,1,3,7,36,0,1
D.J. Moore,CAR,WR,2,TB,2020,0,17,31,0,0,0,0,0,0,0,0,8,13,120,0,0
Chris Carson,SEA,RB,2,NE,2020,P,35,30,0,0,0,0,0,17,72,0,3,3,36,1,0
Tyler Lockett,SEA,WR,2,NE,2020,0,35,30,0,0,0,0,0,0,0,0,7,8,67,1,0
Aaron Rodgers,GB,QB,2,DET,2020,0,42,21,240,2,0,30,18,2,12,0,1,1,-6,0,0
DK Metcalf,SEA,WR,2,NE,2020,0,35,30,0,0,0,0,0,0,0,0,4,6,92,1,0
Jonathan Taylor,IND,RB,2,MIN,2020,0,28,11,0,0,0,0,0,26,101,1,2,2,9,0,0
Mike Hilton,PIT,CB,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Ekeler,LAC,RB,2,KC,2020,O,20,23,0,0,0,0,0,16,93,0,4,4,55,0,0
Jeff Driskel,DEN,QB,2,PIT,2020,0,21,26,256,2,0,34,18,2,5,0,0,0,0,0,0
Raheem Mostert,SF,RB,2,NYJ,2020,O,31,13,0,0,0,0,0,8,92,1,2,2,15,0,0
Ben Roethlisberger,PIT,QB,2,DEN,2020,0,26,21,311,2,0,41,29,3,-2,0,0,0,0,0,1
John Brown,BUF,WR,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,4,6,82,1,0
Hayden Hurst,ATL,TE,2,DAL,2020,0,39,40,0,0,0,0,0,0,0,0,5,8,72,1,0
Braxton Berrios,NYJ,WR,2,SF,2020,0,13,31,0,0,0,0,0,0,0,0,6,8,59,1,0
Robby Anderson,CAR,WR,2,TB,2020,0,17,31,0,0,0,0,0,0,0,0,9,10,109,0,1
Zach Cunningham,HOU,OLB,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Claypool,PIT,WR,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,3,3,88,1,0
Keelan Cole,JAX,WR,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,6,7,58,1,0
Noah Fant,DEN,TE,2,PIT,2020,0,21,26,0,0,0,0,0,0,0,0,4,5,57,1,0
Lamar Jackson,BAL,QB,2,HOU,2020,0,33,16,204,1,0,24,18,16,54,0,0,0,0,0,0
CeeDee Lamb,DAL,WR,2,ATL,2020,0,40,39,0,0,0,0,0,1,9,0,6,9,106,0,0
Odell Beckham Jr.,CLE,WR,2,CIN,2020,0,35,30,0,0,0,0,0,0,0,0,4,6,74,1,0
Dalvin Cook,MIN,RB,2,IND,2020,0,11,28,0,0,0,0,0,14,63,1,2,2,8,0,0
Kevin Pierre-Louis,WAS,ILB,2,ARI,2020,P,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Watt,PIT,OLB,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Vaccaro,TEN,SS,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Gage,ATL,WR,2,DAL,2020,0,39,40,0,0,0,1,0,0,0,0,6,9,46,1,0
Keenan Allen,LAC,WR,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,7,10,96,0,1
Micah Kiser,LAR,ILB,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Gordon III,DEN,RB,2,PIT,2020,0,21,26,0,0,0,0,0,19,70,0,2,3,14,1,0
DeVante Parker,MIA,WR,2,BUF,2020,0,28,31,0,0,0,0,0,0,0,0,5,8,53,1,0
Matthew Stafford,DET,QB,2,GB,2020,0,21,42,244,2,0,33,20,1,4,0,0,0,0,0,0
Mo Alie-Cox,IND,TE,2,MIN,2020,0,28,11,0,0,0,0,0,0,0,0,5,6,111,0,0
Devin White,TB,ILB,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Amari Cooper,DAL,WR,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,6,9,100,0,0
Adam Humphries,TEN,WR,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,5,6,48,1,0
Mark Ingram II,BAL,RB,2,HOU,2020,0,33,16,0,0,0,0,0,9,55,1,2,3,22,0,0
Dion Lewis,NYG,RB,2,CHI,2020,0,13,17,0,0,0,0,0,10,20,1,4,5,36,0,0
Antoine Winfield Jr.,TB,S,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Davis,CAR,RB,2,TB,2020,0,17,31,0,0,0,0,0,1,1,0,8,8,74,0,0
Baker Mayfield,CLE,QB,2,CIN,2020,0,35,30,219,2,0,23,16,3,5,0,0,0,0,0,0
N'Keal Harry,NE,WR,2,SEA,2020,0,30,35,0,0,0,0,0,0,0,0,8,12,72,0,0
Younghoe Koo,ATL,K,2,DAL,2020,O,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Tucker,BAL,K,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Indianapolis Colts,IND,DST,2,MIN,2020,0,28,11,0,0,3,0,0,0,0,0,0,0,0,0,0
Baltimore Ravens,BAL,DST,2,HOU,2020,0,33,16,0,0,1,0,0,0,0,0,0,0,0,0,0
Deshaun Watson,HOU,QB,2,BAL,2020,0,16,33,275,1,0,36,25,5,17,0,0,0,0,0,0
Isaiah Ford,MIA,WR,2,BUF,2020,0,28,31,0,0,0,0,0,0,0,0,7,9,76,0,0
Brandin Cooks,HOU,WR,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,5,8,95,0,0
Drew Brees,NO,QB,2,LV,2020,0,24,34,312,1,0,38,26,0,0,0,0,0,0,0,0
Hunter Henry,LAC,TE,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,6,8,83,0,0
C.J. Uzomah,CIN,TE,2,CLE,2020,IR,30,35,0,0,0,0,0,0,0,0,4,6,42,1,0
Myles Gaskin,MIA,RB,2,BUF,2020,0,28,31,0,0,0,0,0,7,46,0,6,7,36,0,0
Lavonte David,TB,ILB,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Blankenship,IND,K,2,MIN,2020,0,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampa Bay Buccaneers,TB,DST,2,CAR,2020,0,31,17,0,0,2,0,0,0,0,0,0,0,0,0,0
Ndamukong Suh,TB,NT,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
David Moore,SEA,WR,2,NE,2020,0,35,30,0,0,0,0,0,0,0,0,3,3,48,1,0
Jerick McKinnon,SF,RB,2,NYJ,2020,0,31,13,0,0,0,0,0,3,77,1,0,1,0,0,0
Tre'Quan Smith,NO,WR,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,5,7,86,0,0
Jaylon Smith,DAL,ILB,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Simmons,DEN,FS,2,PIT,2020,0,21,26,0,0,1,0,0,0,0,0,0,0,0,0,0
Josh Jacobs,LV,RB,2,NO,2020,0,34,24,0,0,0,0,0,27,88,0,3,3,17,0,0
Chris Hogan,NYJ,WR,2,SF,2020,P,13,31,0,0,0,0,0,0,0,0,6,8,75,0,0
DeForest Buckner,IND,DT,2,MIN,2020,0,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Kelley,LAC,RB,2,KC,2020,0,20,23,0,0,0,0,0,23,64,0,2,2,49,0,0
Jimmy Garoppolo,SF,QB,2,NYJ,2020,O,31,13,131,2,0,16,14,0,0,0,0,0,0,0,0
Mitchell Trubisky,CHI,QB,2,NYG,2020,0,17,13,190,2,0,28,18,4,16,0,0,0,0,0,0
Damiere Byrd,NE,WR,2,SEA,2020,0,30,35,0,0,0,0,0,0,0,0,6,9,72,0,0
Myles Garrett,CLE,DE,2,CIN,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Thomas,CIN,WR,2,CLE,2020,0,30,35,0,0,0,0,0,0,0,0,4,4,31,1,0
Harrison Butker,KC,K,2,LAC,2020,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Watt,HOU,DE,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0
De'Vondre Campbell,ARI,OLB,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Pittsburgh Steelers,PIT,DST,2,DEN,2020,0,26,21,0,0,1,0,0,0,0,0,0,0,0,0,0
Cooper Kupp,LAR,WR,2,PHI,2020,0,37,19,0,0,0,0,0,2,19,0,5,6,81,0,1
Clyde Edwards-Helaire,KC,RB,2,LAC,2020,0,23,20,0,0,0,0,0,10,38,0,6,8,32,0,0
Tyler Eifert,JAX,TE,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,3,6,36,1,0
Corey Davis,TEN,WR,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,3,5,36,1,0
Darnell Mooney,CHI,WR,2,NYG,2020,0,17,13,0,0,0,0,0,0,0,0,3,3,36,1,1
Joe Mixon,CIN,RB,2,CLE,2020,P,30,35,0,0,0,0,0,16,46,0,4,4,40,0,0
Jamal Adams,SEA,SS,2,NE,2020,O,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Kendricks,MIN,ILB,2,IND,2020,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Engram,NYG,TE,2,CHI,2020,0,13,17,0,0,0,0,0,0,0,0,6,8,65,0,0
Jordan Akins,HOU,TE,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,7,7,55,0,0
DJ Chark Jr.,JAX,WR,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,4,4,84,0,0
DeSean Jackson,PHI,WR,2,LAR,2020,O,19,37,0,0,0,0,0,0,0,0,6,9,64,0,0
Carson Wentz,PHI,QB,2,LAR,2020,0,19,37,242,0,0,43,26,2,7,1,0,0,0,0,0
Marvin Jones Jr.,DET,WR,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,4,6,23,1,0
Antonio Gibson,WAS,RB,2,ARI,2020,0,15,30,0,0,0,0,0,13,55,1,1,2,-3,0,0
D'Andre Swift,DET,RB,2,GB,2020,0,21,42,0,0,0,0,0,5,12,0,5,5,60,0,0
Yannick Ngakoue,MIN,DE,2,IND,2020,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlon Humphrey,BAL,CB,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Bullock,CIN,K,2,CLE,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyson Alualu,PIT,DE,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Zane Gonzalez,ARI,K,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandon Sullivan,GB,CB,2,DET,2020,0,42,21,0,0,1,0,0,0,0,0,0,0,0,0,0
Daniel Carlson,LV,K,2,NO,2020,0,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Landon Collins,WAS,SS,2,ARI,2020,0,15,30,0,0,1,0,0,0,0,0,0,0,0,0,0
Chicago Bears,CHI,DST,2,NYG,2020,0,17,13,0,0,1,0,0,0,0,0,0,0,0,0,0
Green Bay Packers,GB,DST,2,DET,2020,0,42,21,0,0,1,0,0,0,0,0,0,0,0,0,0
Cole Beasley,BUF,WR,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,5,6,70,0,0
Larry Fitzgerald,ARI,WR,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,7,7,50,0,0
Sam Darnold,NYJ,QB,2,SF,2020,Q,13,31,179,1,0,32,21,2,7,0,0,0,0,0,0
Malcolm Jenkins,NO,SS,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0
JuJu Smith-Schuster,PIT,WR,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,7,8,48,0,0
Dwayne Haskins Jr.,WAS,QB,2,ARI,2020,0,15,30,223,1,0,33,19,1,8,0,0,0,0,0,1
Chris Thompson,JAX,RB,2,TEN,2020,0,30,33,0,0,0,0,0,2,7,0,3,4,20,1,0
Malcolm Butler,TEN,CB,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Wilson,MIN,OLB,2,IND,2020,0,11,28,0,0,1,0,0,0,0,0,0,0,0,0,0
Troy Hill,LAR,CB,2,PHI,2020,0,37,19,0,0,1,0,0,0,0,0,0,0,0,0,0
Kenyan Drake,ARI,RB,2,WAS,2020,0,30,15,0,0,0,0,0,20,86,0,2,2,9,0,0
Drew Sample,CIN,TE,2,CLE,2020,0,30,35,0,0,0,0,0,0,0,0,7,9,45,0,0
Bud Dupree,PIT,OLB,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Woods,LAR,WR,2,PHI,2020,0,37,19,0,0,0,0,0,3,19,1,2,5,14,0,0
Deion Jones,ATL,ILB,2,DAL,2020,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Bostic,WAS,ILB,2,ARI,2020,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Martinez,NYG,ILB,2,CHI,2020,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Pierre-Paul,TB,OLB,2,CAR,2020,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas Morrow,LV,OLB,2,NO,2020,0,34,24,0,0,1,0,0,0,0,0,0,0,0,0,0
Joe Thomas,DAL,OLB,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Gostkowski,TEN,K,2,JAX,2020,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinton Dunbar,SEA,CB,2,NE,2020,O,35,30,0,0,1,0,0,0,0,0,0,0,0,0,0
Devin McCourty,NE,SS,2,SEA,2020,0,30,35,0,0,1,0,0,0,0,0,0,0,0,0,0
L.J. Fort,BAL,OLB,2,HOU,2020,P,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Calais Campbell,BAL,DE,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheldon Richardson,CLE,DT,2,CIN,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Poyer,BUF,SS,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Pascal,IND,WR,2,MIN,2020,0,28,11,0,0,0,0,0,0,0,0,3,4,19,1,0
Randall Cobb,HOU,WR,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,5,6,59,0,0
Philip Rivers,IND,QB,2,MIN,2020,0,28,11,214,1,0,25,19,4,3,0,0,0,0,0,1
Rashan Gary,GB,OLB,2,DET,2020,Q,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronald Jones II,TB,RB,2,CAR,2020,0,31,17,0,0,0,0,0,7,23,1,2,2,4,0,0
Kendrick Bourne,SF,WR,2,NYJ,2020,0,31,13,0,0,0,0,0,0,0,0,4,5,67,0,0
Jamie Collins Sr.,DET,LB,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Kirksey,GB,OLB,2,DET,2020,IR,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred Warner,SF,ILB,2,NYJ,2020,0,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Hendrickson,NO,DE,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Damien Wilson,KC,LB,2,LAC,2020,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Jarius Sneed,KC,DB,2,LAC,2020,IR,23,20,0,0,1,0,0,0,0,0,0,0,0,0,0
Robert Tonyan,GB,TE,2,DET,2020,0,42,21,0,0,0,0,0,0,0,0,2,3,25,1,0
Khalil Mack,CHI,OLB,2,NYG,2020,P,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Fells,HOU,TE,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,2,4,23,1,0
Laviska Shenault Jr.,JAX,WR,2,TEN,2020,0,30,33,0,0,0,0,0,5,37,0,3,4,35,0,0
T.J. Hockenson,DET,TE,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,4,4,62,0,0
Jerry Jeudy,DEN,WR,2,PIT,2020,0,21,26,0,0,0,0,0,0,0,0,4,7,62,0,0
Mason Crosby,GB,K,2,DET,2020,0,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0
John Johnson III,LAR,SS,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrel Dodson,BUF,OLB,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Zuerlein,DAL,K,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Holton Hill,MIN,CB,2,IND,2020,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Sanders,MIA,K,2,BUF,2020,0,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0
James Bradberry,NYG,CB,2,CHI,2020,0,13,17,0,0,1,0,0,0,0,0,0,0,0,0,0
Jordan Hicks,ARI,ILB,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Ka'imi Fairbairn,HOU,K,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Reid,HOU,FS,2,BAL,2020,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Whitehead,TB,SS,2,CAR,2020,0,31,17,0,0,1,0,0,0,0,0,0,0,0,0,0
Golden Tate,NYG,WR,2,CHI,2020,0,13,17,0,0,0,0,0,0,0,0,5,5,47,0,0
Kyler Fackrell,NYG,OLB,2,CHI,2020,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Arik Armstead,SF,DE,2,NYJ,2020,0,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Singletary,BUF,RB,2,MIA,2020,0,31,28,0,0,0,0,0,10,56,0,2,3,20,0,0
Courtland Sutton,DEN,WR,2,PIT,2020,IR,21,26,0,0,0,0,0,0,0,0,3,6,66,0,0
Vince Williams,PIT,ILB,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Quinn,CHI,OLB,2,NYG,2020,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Love,NYG,FS,2,CHI,2020,P,13,17,0,0,1,0,0,0,0,0,0,0,0,0,0
Za'Darius Smith,GB,OLB,2,DET,2020,Q,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0
David Onyemata,NO,NT,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Levi Wallace,BUF,CB,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Ryan,NYG,CB,2,CHI,2020,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Moore II,IND,CB,2,MIN,2020,0,28,11,0,0,1,0,0,0,0,0,0,0,0,0,0
Harold Landry III,TEN,OLB,2,JAX,2020,0,33,30,0,0,1,0,0,0,0,0,0,0,0,0,0
Myles Jack,JAX,OLB,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0
DeShon Elliott,BAL,FS,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin Hall,DET,WR,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,1,2,24,1,0
Marquez Valdes-Scantling,GB,WR,2,DET,2020,0,42,21,0,0,0,0,0,0,0,0,3,7,64,0,0
Joey Bosa,LAC,DE,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Cook,NO,TE,2,LV,2020,O,24,34,0,0,0,0,0,0,0,0,2,5,13,1,0
Kerryon Johnson,DET,RB,2,GB,2020,0,21,42,0,0,0,0,0,8,32,1,0,1,0,0,0
Zach Ertz,PHI,TE,2,LAR,2020,0,19,37,0,0,0,0,0,0,0,0,5,7,42,0,0
Marquise Brown,BAL,WR,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,5,6,42,0,0
Terrell Edmunds,PIT,SS,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Everson Griffen,DAL,DE,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Young,WAS,DE,2,ARI,2020,O,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddie Swain,SEA,WR,2,NE,2020,0,35,30,0,0,0,0,0,0,0,0,1,1,21,1,0
P.J. Williams,NO,CB,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Edwards,PHI,ILB,2,LAR,2020,0,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Ugo Amadi,SEA,FS,2,NE,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Oliver,BUF,DT,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Tavierre Thomas,CLE,CB,2,CIN,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Nik Needham,MIA,CB,2,BUF,2020,0,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Jenkins,NYJ,OLB,2,SF,2020,P,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerry Hyder Jr.,SF,DE,2,NYJ,2020,0,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Murray Jr.,LAC,LB,2,KC,2020,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Queen,BAL,LB,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlton Davis,TB,CB,2,CAR,2020,0,31,17,0,0,1,0,0,0,0,0,0,0,0,0,0
New York Giants,NYG,DST,2,CHI,2020,0,13,17,0,0,2,0,0,0,0,0,0,0,0,0,0
Arizona Cardinals,ARI,DST,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyus Bowser,BAL,OLB,2,HOU,2020,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Heyward,PIT,DT,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Rex Burkhead,NE,RB,2,SEA,2020,0,30,35,0,0,0,0,0,6,2,0,4,6,47,0,0
Chris Conley,JAX,WR,2,TEN,2020,0,30,33,0,0,0,0,0,0,0,0,4,7,48,0,0
Andy Isabella,ARI,WR,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,2,3,67,0,0
