Name,Team,Pos,Wk,Opp,Year,Status,TeamScore,OppScore,PassYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgs,ReceivingYds,ReceivingTD,FL
John Lovett,GB,TE,2,DET,2020,0,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Sieg,LV,LS,2,NO,2020,0,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Burton,NO,FB,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0
John Hightower,PHI,WR,2,LAR,2020,0,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Taylor,GB,WR,2,DET,2020,0,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Flowers,DET,DE,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Robinson,NO,CB,2,LV,2020,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashard Higgins,CLE,WR,2,CIN,2020,O,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherrick McManis,CHI,DB,2,NYG,2020,O,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Iyiegbuniwe,CHI,ILB,2,NYG,2020,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Smith,BUF,ILB,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandler Cox,MIA,FB,2,BUF,2020,0,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Lewis,BUF,CB,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Goodwin,DAL,CB,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,0,1,0,0,0
Sean McKeon,DAL,TE,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Carr,DAL,CB,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Dontari Poe,DAL,DT,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Blake,ATL,WR,2,DAL,2020,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Garvin,GB,DL,2,DET,2020,0,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Summers,GB,ILB,2,DET,2020,0,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Moore,DET,FS,2,GB,2020,O,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0
John Penisini,DET,DL,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Ka'dar Hollman,GB,CB,2,DET,2020,0,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaeden Graham,ATL,TE,2,DAL,2020,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Blidi Wreh-Wilson,ATL,CB,2,DAL,2020,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Neville Gallimore,DAL,DT,2,ATL,2020,O,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Harris,ATL,LS,2,DAL,2020,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Wilson,CIN,LB,2,CLE,2020,O,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Montrel Meander,CLE,LB,2,CIN,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Brown,CIN,CB,2,CLE,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Wilson,CIN,FS,2,CLE,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
